no,no_bam,situs,poktan,desa,bast
169,169/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104730/empty,Patik Mulya,Patik,10620000
170,170/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104731/empty,Sekar Arum,Plunturan,8850000
171,171/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104732/empty,Margo Makmur,Pomahan,8850000
172,172/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104733/empty,Pulung Mukti,Pulung,12390000
173,173/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104734/empty,Jayengrono,Pulung Merdiko,5900000
174,174/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104735/empty,Mukti Wibowo,Serag,10325000
175,175/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104736/empty,Margo Rejeki,Sidoharjo,10620000
176,176/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104737/empty,Hibrida,Singgahan,14160000
177,177/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104738/empty,Manunggal,Tegalrejo,8850000
178,178/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104739/empty,Warga Makmur,Wagir Kidul,17700000
179,179/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104740/empty,Argo Wilis,Wayang,8850000
180,180/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104741/empty,Subur Makmur,Wotan,7080000
181,181/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104742/empty,Rukun Santosa,Bancangan,5900000
182,182/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104743/empty,Wahyu Makmur,Bangsalan,2950000
183,183/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104744/empty,Tani Makmur,Bedingin,5900000
184,184/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104745/empty,Tani Maju,Besuki,5900000
185,185/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104746/empty,Subur Makmur,Bulu,2950000
186,186/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104747/empty,Rukun Makmur,Campurejo,5900000
187,187/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104748/empty,Tani Rukun,Campursari,4425000
188,188/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104749/empty,Kontag Makmur,Gajah,10325000
189,189/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104750/empty,Jrakah Makmur,Jrakah,2950000
190,190/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104751/empty,Dewi Sri,Kemuning,5900000
191,191/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104753/empty,Mangun Tani,Maguwan,11800000
192,192/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104755/empty,Tri Manunggal,Ngadisanan,8850000
193,193/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104757/empty,Margo Mulyo,Nglewan,7375000
194,194/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104759/empty,Terus Maju,Sambit,4425000
195,195/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104761/empty,Subur Jaya,Wilangan,4425000
196,196/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104763/empty,Margo Utomo,Wringinanom,14750000
197,197/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104765/empty,Sido Mulyo,Carangrejo,11800000
198,198/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104767/empty,Sumber Kamulyan,Gelangkulon,13275000
