no,no_bam,situs,poktan,desa,bast
73,531,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104913/empty,Bunga Mawar,Kuta Pengkih,10620000
74,532,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104914/empty,Bunga Rimna,Kuta Pengkih,11800000
75,533,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104915/empty,Bunga Ros,Kuta Pengkih,12390000
76,534,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104916/empty,Cari Kawan,Kuta Pengkih,12980000
77,535,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104917/empty,Didong Doah,Kuta Pengkih,13570000
78,536,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104918/empty,Lau Simonong,Kuta Pengkih,13275000
79,537,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104919/empty,Mbuah Page,Kuta Pengkih,13570000
80,538,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104920/empty,Sada Arih,Kuta Pengkih,12390000
81,539,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104921/empty,Persi,Kuta Pengkih,13275000
82,540,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104922/empty,Soala Gogo,Kuta Pengkih,13275000
83,541,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104923/empty,Barong Batang,Kuta Pengkih,11800000
84,542,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104924/empty,Genarasi Baru,Lau Pakam,6195000
85,543,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104925/empty,Lam Uli,Lau Pakam,9145000
86,544,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104926/empty,Sawah Lama,Lau Pakam,7375000
87,545,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104927/empty,Pemuda Tani,Lau Pakam,5310000
88,546,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104928/empty,Gabe Subur,Lau Pakam,6195000
89,547,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104929/empty,Tani Jaya,Lau Pakam,6195000
90,548,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104930/empty,Anugrah,Lau Pakam,5900000
91,549,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104931/empty,Cahaya,Lau Pakam,6490000
92,550,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104932/empty,Cinta Maju,Lau Pakam,7080000
93,551,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104933/empty,Gali Masuk,Lau Pakam,5310000
94,552,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104934/empty,Tani Pusaka,Lau Pakam,6195000
95,553,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104935/empty,Supra Tani,Lau Pakam,8850000
96,554,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104936/empty,Kuta Nari,Lau Pakam,5900000
97,555,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104937/empty,Lam Ulina,Lau Pakam,5310000
98,556,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104938/empty,Maju,Lau Pakam,5900000
99,557,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104939/empty,Jaya,Lau Pakam,6785000
100,558,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104940/empty,Intensif,Lau Pakam,6785000
101,559,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104941/empty,Janji Matogu,Lau Pakam,7965000
102,560,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104942/empty,Arih Ersada,Lau Pakam,7080000
103,561,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104943/empty,Suara Tani,Lau Pakam,8555000
104,562,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104944/empty,Subur Tani,Lau Pakam,7375000
105,563,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104945/empty,Sisampat-Sampaten,Lau Pakam,7375000
