no,image,situs,poktan,desa,bast,total,tanggal,ongkir
60,518/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104872/empty,Gotong Royong,Lau Kesumpat,7375000,8275000,07-11-2023,900000
61,519/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104874/empty,Paya Elok,Lau Kesumpat,8260000,9268000,07-11-2023,1008000
62,520/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104876/empty,Pemarparen,Lau Kesumpat,7080000,7944000,07-11-2023,864000
63,521/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104878/empty,Berkat Doa,Lau Kesumpat,7080000,7944000,07-11-2023,864000
64,522/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104904/empty,Kampung Dalam Indah (Kdi),Lau Kesumpat,6490000,7282000,07-11-2023,792000
65,523/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104905/empty,Sari Tani,Lau Kesumpat,5900000,6620000,07-11-2023,720000
66,524/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104906/empty,Cinta Dame,Lau Kesumpat,5900000,6620000,07-11-2023,720000
67,525/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104907/empty,Latersia,Lau Kesumpat,6490000,7282000,07-11-2023,792000
68,526/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104908/empty,Lau Kapur,Lau Kesumpat,7080000,7944000,07-11-2023,864000
69,527/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104909/empty,Ora Et Labora,Lau Kesumpat,7375000,8275000,07-11-2023,900000
70,528/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104910/empty,Arih Ersada,Kuta Pengkih,11800000,13240000,07-11-2023,1440000
71,529/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104911/empty,Bukit Simalem,Kuta Pengkih,12390000,13902000,07-11-2023,1512000
72,530/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104912/empty,Bunga Ncole,Kuta Pengkih,13275000,14895000,07-11-2023,1620000
73,531/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104913/empty,Bunga Mawar,Kuta Pengkih,10620000,11916000,07-11-2023,1296000
74,532/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104914/empty,Bunga Rimna,Kuta Pengkih,11800000,13240000,07-11-2023,1440000
75,533/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104915/empty,Bunga Ros,Kuta Pengkih,12390000,13902000,07-11-2023,1512000
76,534/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104916/empty,Cari Kawan,Kuta Pengkih,12980000,14564000,07-11-2023,1584000
77,535/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104917/empty,Didong Doah,Kuta Pengkih,13570000,15226000,07-11-2023,1656000
78,536/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104918/empty,Lau Simonong,Kuta Pengkih,13275000,14895000,07-11-2023,1620000
79,537/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104919/empty,Mbuah Page,Kuta Pengkih,13570000,15226000,07-11-2023,1656000
80,538/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104920/empty,Sada Arih,Kuta Pengkih,12390000,13902000,07-11-2023,1512000
81,539/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104921/empty,Persi,Kuta Pengkih,13275000,14895000,07-11-2023,1620000
82,540/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104922/empty,Soala Gogo,Kuta Pengkih,13275000,14895000,07-11-2023,1620000
83,541/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104923/empty,Barong Batang,Kuta Pengkih,11800000,13240000,07-11-2023,1440000
84,542/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104924/empty,Genarasi Baru,Lau Pakam,6195000,6951000,07-11-2023,756000
85,543/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104925/empty,Lam Uli,Lau Pakam,9145000,10261000,07-11-2023,1116000
86,544/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104926/empty,Sawah Lama,Lau Pakam,7375000,8275000,07-11-2023,900000
87,545/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104927/empty,Pemuda Tani,Lau Pakam,5310000,5958000,07-11-2023,648000
88,546/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104928/empty,Gabe Subur,Lau Pakam,6195000,6951000,07-11-2023,756000
89,547/BAM-P/PSP/BAST-KARO/16/X/23,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/104929/empty,Tani Jaya,Lau Pakam,6195000,6951000,07-11-2023,756000
