no,no_bam,situs,poktan,desa
84,84/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79360/empty,Sitiroanan,Ariang
85,85/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79361/empty,Sumandidi,Ariang
86,86/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79363/empty,Lika,Botang
87,87/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79364/empty,Rante Botang,Botang
88,88/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79365/empty,Tarra Botang,Botang
89,89/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79369/empty,KWT Lestari Manggau,Manggau
90,90/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79370/empty,Parita Pangle,Manggau
91,91/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79371/empty,Tuan Palangka,Manggau
92,92/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79373/empty,Buntu Tarongko,Tarongko
93,93/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79374/empty,Gurun Cinta Maju,Tarongko
94,94/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79375/empty,Lestari,Tarongko
95,95/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79376/empty,Pekaung,Tarongko
96,96/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79378/empty,Sangkutu Banne,Tarongko
97,97/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79379/empty,Siallo,Tarongko
98,98/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79380/empty,Sipanundu,Tarongko
99,99/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79381/empty,Siporannu,Tarongko
100,100/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79385/empty,Rabek,Rante
101,101/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79386/empty,Rantol,Rante
102,102/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79387/empty,Sikamalik Mamabo,Rante
103,103/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79389/empty,Tunas Bangsa,Rante
104,104/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79390/empty,Rano,Rante
105,105/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79392/empty,Malimongan,Rante
106,106/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79395/empty,Karapa,Batupapan
107,107/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79396/empty,Sipanundu Kalolok,Batupapan
108,108/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79397/empty,Sirannuan,Batupapan
109,109/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79399/empty,Tangnga Tondok,Batualu Selatan
110,110/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79400/empty,Tamporan,Batualu Selatan
111,111/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79401/empty,Pakepakan,Batualu Selatan
112,112/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79405/empty,Burau Tarrak,Batualu Selatan
113,113/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79407/empty,Tongkonan,Batualu Selatan
114,114/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79408/empty,To'batata,Batualu Selatan
115,115/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79411/empty,Se'pon Sarong,Batualu
116,116/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79413/empty,Bamba,Batualu
118,118/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79415/empty,Makula Siendekan,Tokesan
120,120/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79417/empty,Sullukan,Tokesan
121,121/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79419/empty,Siporannu,Tokesan
122,122/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79422/empty,Padang,Tokesan
123,123/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79423/empty,Kambelangi',Tokesan
125,125/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79425/empty,Lengke,Raru Sibunuan
126,126/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79426/empty,Situru,Raru Sibunuan
127,127/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79430/empty,Mitra Sejahtera,Raru Sibunuan
128,128/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79431/empty,"KTH, Mentiro Tiku, T",Raru Sibunuan
129,129/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79432/empty,Kombong,Raru Sibunuan
130,130/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79434/empty,Siangkaran,Rante Alang
131,131/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79435/empty,Kondo,Rante Alang
132,132/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79437/empty,Songgo,Rante Alang
133,133/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79438/empty,Batakan Siolanan,Rante Alang
134,134/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79439/empty,Baibo,Rante Alang
135,135/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79440/empty,Garuda,Saluallo
136,136/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79441/empty,Segitiga Emas,Saluallo
137,137/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79442/empty,Makkareso,Madandan
138,138/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79444/empty,Rumpun Petani Leppan,Leppan
139,139/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79445/empty,Situnduan Matangli,Leppan
140,140/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79449/empty,Sabara,Lemo Menduruk
141,141/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79450/empty,Sanglombokan,Lemo Menduruk
142,142/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79451/empty,Salu Silullung,Malimbong
143,143/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79453/empty,Sollongan,Malimbong
144,144/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79454/empty,Bidoko,Kole Sawangan
145,145/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79455/empty,Supate Solo,Kole Sawangan
146,146/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79457/empty,Kole,Kole Sawangan
147,147/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79458/empty,Tondon Sapan,Kole Barebatu
148,148/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79459/empty,Liku Lepong,Kole Barebatu
149,149/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79460/empty,Kwt Harapan,Kole Barebatu
150,150/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79461/empty,Tallu Bulinna,Kole Barebatu
151,151/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79462/empty,Pa'tondokan,Kole Barebatu
152,152/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/79463/empty,Salempanna,Lion Tondok Iring
