no,no_bam,situs,poktan,desa
109,109/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104949/empty,Dosniroha,Lau Pakam
110,110/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104950/empty,Baluren Bagas,Lau Pakam
111,111/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104951/empty,Saroha,Lau Pakam
112,112/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104952/empty,Nusantara,Lau Pakam
113,113/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104953/empty,Putra Tani,Lau Pakam
114,114/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104954/empty,Pasar Tonga,Lau Pakam
115,115/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104955/empty,Mandiri,Mardingding
116,116/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104956/empty,Simulih Karaben,Mardingding
117,117/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104957/empty,Silegin Ukur,Mardingding
118,118/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104958/empty,Kelengna,Mardingding
119,119/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104959/empty,Cinta Ibu,Mardingding
120,120/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104960/empty,Sada Arih,Mardingding
121,121/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104961/empty,Swakarya,Mardingding
122,122/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104962/empty,Serba Guna,Mardingding
123,123/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104963/empty,Kekelengenta Ras,Mardingding
124,124/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104964/empty,Tunas Muda,Mardingding
125,125/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104965/empty,Mamre B,Mardingding
126,126/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104966/empty,Mangga Dua,Mardingding
127,127/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104967/empty,Tambar Malem A,Mardingding
128,128/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104968/empty,KBG RK,Mardingding
129,129/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104969/empty,Karoni,Mardingding
130,130/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104970/empty,Sejahtera,Mardingding
131,131/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104971/empty,Tambar Malem B,Mardingding
132,132/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104972/empty,Paya Kelambue,Mardingding
133,133/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104973/empty,Soala Gogo,Mardingding
