no,no_bam,situs,poktan,desa
461,461/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89429/empty,Horas,Batu Godang
462,462/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89430/empty,Tunas Mekar,Batu Godang
463,463/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89431/empty,Amanah,Batu Godang
469,469/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89438/empty,Sejati,Tindoan Laut
470,470/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89440/empty,Mujur,Tindoan Laut
471,471/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89441/empty,Saroha,Tindoan Laut
476,476/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89447/empty,Sahata Saoloan,Simataniari
479,479/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89450/empty,Mandiri,Sangkunur
480,480/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89451/empty,Maju,Sangkunur
481,481/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89453/empty,Hasaradodo,Sangkunur
484,484/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89456/empty,Lestari,Rianiate
486,486/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89459/empty,Danau Siais,Rianiate
488,488/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89461/empty,Nauli,Huraba
489,489/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89463/empty,Kwt Saroha,Huraba
492,492/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89467/empty,Sarasi II,Pasar Sempurna
497,497/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89472/empty,Seroja II,Gunung Binanga
500,500/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89475/empty,Maju Jaya,Marancar Godang
502,502/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89477/empty,Kwt Marancar Bersatu,Marancar Godang
504,504/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89479/empty,Sabar Subur,Simaninggir
505,505/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89480/empty,Serasi,Simaninggir
508,508/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89483/empty,Prima Tani,Simaninggir
509,509/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89484/empty,Sukses,Simaninggir
510,510/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89485/empty,Harapan Maju,Marancar Julu
514,514/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89489/empty,Kwt Periwi II,Marancar Julu
517,517/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89492/empty,Saroha,Haunatas
518,518/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89493/empty,Saroha I,Haunatas
519,519/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89494/empty,Harap Maju,Sugi
520,520/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89495/empty,Ingin Maju,Sugi
521,521/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89496/empty,Aek Sugi,Sugi
522,522/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89497/empty,Sejahtera,Sugi
523,523/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89498/empty,Kwt Marsada,Sugi
524,524/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89499/empty,Kwt Silottik,Sugi
525,525/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89500/empty,Sarasi,Tanjung Dolok
526,526/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89501/empty,Marsadaniroha,Tanjung Dolok
527,527/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89502/empty,Hamparan,Tanjung Dolok
528,528/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89503/empty,Raptama,Aek Nabara
529,529/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89504/empty,Maju Bersama,Aek Nabara
530,530/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89505/empty,Bona Bulu,Gapuk Tua
531,531/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89506/empty,Lubuk Raya Subur,Gapuk Tua
532,532/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89507/empty,Serasi,Gapuk Tua
533,533/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89509/empty,Kwt Dahlia,Gapuk Tua
534,534/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89510/empty,Sibio Bio Julu,Huraba
535,535/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89511/empty,Ra Maju,Huraba
536,536/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89512/empty,Mekar Jaya,Huraba
537,537/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89513/empty,Melati,Huraba
538,538/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89515/empty,Mawar,Huraba
539,539/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89516/empty,Sarasi,Huraba
540,540/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89517/empty,Siala Sampagul,Huta Ginjang
541,541/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89518/empty,Bunga Kembar,Huta Ginjang
542,542/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89520/empty,Adian Napurpur,Huta Ginjang
543,543/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89521/empty,Melati,Huta Ginjang
544,544/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89522/empty,Selaras,Huta Ginjang
545,545/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89523/empty,Dalihan Natolu,Huta Ginjang
546,546/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89544/empty,Tobat Godang,Sijungkang
547,547/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89545/empty,Dosniroha,Sijungkang
548,548/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89547/empty,Padang Suluk,Sijungkang
549,549/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89548/empty,Saba Rimba,Sijungkang
550,550/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89549/empty,Sapadan,Sijungkang
551,551/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89550/empty,Saba Napa,Sijungkang
552,552/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89551/empty,Kantin,Pargarutan Dolok
553,553/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89553/empty,Sitorbis,Pargarutan Dolok
554,554/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89554/empty,Sauduran,Pargarutan Dolok
555,555/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89555/empty,Satahi,Pargarutan Dolok
556,556/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89556/empty,Aek Sitorbis,Pargarutan Dolok
557,557/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89557/empty,Simatoktong,Pargarutan Dolok
558,558/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89558/empty,Melati,Pargarutan Dolok
559,559/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89560/empty,Suka Maju,Pargarutan Julu
560,560/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89561/empty,Rimni Tahi,Pargarutan Julu
561,561/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89562/empty,Saba Dano Godang,Pargarutan Julu
562,562/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/89563/empty,Saba Lobu,Pargarutan Julu
563,563/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90098/empty,Saba Duru-duru,Pargarutan Julu
564,564/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90099/empty,Saba Ipar,Pargarutan Julu
565,565/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90100/empty,Lombang Masin I,Pasar Pargarutan
566,566/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90101/empty,Lombang Masin II,Pasar Pargarutan
567,567/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90102/empty,Rimni Tahi,Pasar Pargarutan
568,568/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90103/empty,Matahari I,Pasar Pargarutan
569,569/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90104/empty,Matahari II,Pasar Pargarutan
570,570/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90105/empty,Domunitahi,Pasar Pargarutan
571,571/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90106/empty,Makmur,Pasar Pargarutan
572,572/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90107/empty,Harapan Maju I,Pargarutan Jae
573,573/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90108/empty,Harapan Maju II,Pargarutan Jae
574,574/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90109/empty,Bersama,Pargarutan Jae
575,575/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90110/empty,Pardomuan,Pargarutan Jae
576,576/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90111/empty,Saba Julu,Pargarutan Jae
577,577/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90112/empty,Aek Pahu,Pargarutan Jae
578,578/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90113/empty,Marsada,Pargarutan Tonga
579,579/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90114/empty,Bintang Harapan,Pargarutan Tonga
580,580/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90115/empty,Tunas Harapan,Pargarutan Tonga
581,581/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90116/empty,Setia Kawan,Pargarutan Tonga
582,582/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90117/empty,Jaya,Pall XI
583,583/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90118/empty,Melati,Pall XI
584,584/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90119/empty,Saroha,Pall XI
585,585/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90120/empty,Marisi Bersatu,Marisi
586,586/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90121/empty,Tunas Harapan,Marisi
587,587/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90122/empty,Mekar,Marisi
588,588/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90123/empty,Gotong Royong,Marisi
589,589/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90124/empty,Marisi Maju Berkarya,Marisi
590,590/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90125/empty,Saroha,Sanggapati
591,591/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90126/empty,Maju Jaya,Sanggapati
592,592/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90127/empty,Pardomuan,Sanggapati
593,593/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90128/empty,Sejahtera,Sanggapati
594,594/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90129/empty,Serasi,Sanggapati
595,595/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90130/empty,Pandurungan,Sanggapati
596,596/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90131/empty,Bonggal Jaya,Sanggapati
597,597/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90132/empty,Oriza,Sanggapati
598,598/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90133/empty,Sarasi Tabusira,Batang Tura Sirumambe
599,599/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90134/empty,Sahata,Batang Tura Sirumambe
600,600/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90135/empty,Padomu Tahi,Batang Tura Sirumambe
601,601/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90136/empty,Sapokat,Batang Tura Sirumambe
602,602/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90137/empty,Namora Tani,Batang Tura Sirumambe
603,603/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90138/empty,Saoloan,Batang Tura Sirumambe
604,604/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90139/empty,Saroha,Batang Tura Sirumambe
605,605/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90140/empty,Batu Tunggal,Batang Tura Sirumambe
606,606/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90141/empty,Simataniari,Batang Tura Sirumambe
607,607/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90142/empty,Marsada,Batang Tura Sirumambe
608,608/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90143/empty,Siringo-Ringo,Batang Tura Sirumambe
609,609/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90144/empty,Galanggang Jaya,Batang Tura Sirumambe
610,610/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90145/empty,Serasi,Batang Tura Sirumambe
611,611/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90146/empty,Sarasi Sejati,Batang Tura Sirumambe
612,612/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90147/empty,Suka Makmur,Panompuan Jae
613,613/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90148/empty,Padang Tonga,Panompuan Jae
614,614/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90149/empty,Harapan Maju,Panompuan Jae
615,615/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90150/empty,Melati,Panompuan Jae
616,616/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90151/empty,Nurul Falah,Panompuan
617,617/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90152/empty,Mardomu Roha,Panompuan
618,618/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90153/empty,Aek Bobak,Panompuan
619,619/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90154/empty,Sulang Aling,Panompuan
620,620/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90155/empty,Sejahtera Maju Bersama,Panompuan
621,621/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90156/empty,Sasaripean,Panompuan
622,622/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90157/empty,Bakti,Panompuan
623,623/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90158/empty,Melati Jaya,Lantosan Rogas
624,624/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90159/empty,Rap Tama,Lantosan Rogas
625,625/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90160/empty,Maju Bersama,Lantosan Rogas
626,626/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90161/empty,Rap Ra,Lantosan Rogas
627,627/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90162/empty,Torhalihi,Sibadoar
628,628/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90163/empty,Dosniroha,Sibadoar
629,629/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90164/empty,Sehati,Sibadoar
630,630/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90165/empty,Batu Bide,Batang Tura
631,631/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90166/empty,Lestari,Batang Tura
632,632/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90167/empty,Sejahtera,Batang Tura Julu
633,633/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90168/empty,Saroha,Batang Tura Julu
634,634/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90169/empty,Satahi,Padang Bujur
635,635/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90170/empty,Mawar Merah,Padang Bujur
636,636/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90171/empty,Sahata,Paran Dolok Mardomu
637,637/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90172/empty,Rap Olo,Paran Dolok Mardomu
638,638/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90173/empty,Matoktong,Paran Dolok Mardomu
639,639/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90176/empty,Saroha,Bagas Lombang
640,640/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90177/empty,Sahata,Bagas Lombang
641,641/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90178/empty,Swadek,Sipirok Godang
642,642/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90179/empty,Maju Bersama,Sipirok Godang
643,643/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90180/empty,Marsada Pinabar,Pasar Sipirok
644,644/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90181/empty,Delta,Pangurabaan
645,645/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90182/empty,Beringin Jaya,Hutasuhut
646,646/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90183/empty,Nusa Indah,Hutasuhut
647,647/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90184/empty,Sarasi,Simaninggir
648,648/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90185/empty,Sepakat,Simaninggir
649,649/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90186/empty,Jaya Tani,Paran Padang
650,650/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90187/empty,Tona Tani,Paran Padang
651,651/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90188/empty,Maju,Paran Padang
652,652/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/90189/empty,Tumpang Sari,Bunga Bondar
