no,nomor,situs,poktan,data_kolom_tiga
30,30/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50772/empty,Tani Makmur,Wonoboyo
31,31/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50773/empty,Bina Tani Maju,Besuk
32,32/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50774/empty,Mandiri,Klampokan
33,33/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50775/empty,Bina Sejahtera,Karang Sengon
34,34/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50776/empty,Granada,Wonokerto
35,35/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50777/empty,Suka Maju,Karang Anyar
36,36/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50778/empty,Tani Abadi,Sumber Suko
37,37/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50779/empty,Blimbing Jaya,Blimbing
38,38/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50780/empty,Rimba Jaya,Bandilan
39,39/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50781/empty,Sempol Jaya,Sempol
40,40/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50782/empty,Tarum Jaya,Tarum
41,41/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50783/empty,Gotong Royong,Prajekan Lor
42,42/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50784/empty,Sumber Urip,Walidono
43,43/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50785/empty,Dewi Sri,Gayam Lor
44,44/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50786/empty,Mangga Mas Jaya,Gayam
45,45/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50787/empty,Barokah Tani,Klekehan
46,46/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50788/empty,Tani Makmur,Pekauman
47,47/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50789/empty,Intan Mas,Botolinggo
48,48/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50790/empty,Sejahtera,Cermee
49,49/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50791/empty,Tirta Guna,Bercak
50,50/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50792/empty,Sumber Tani,Bercak Asri
51,51/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50793/empty,Jaohar,Kabuaran
52,52/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50794/empty,Sumber Jaya,Sumber Pandan
53,53/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50795/empty,Tani Makmur,Taman
54,54/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50796/empty,Sultan Jaya,Suling Wetan
55,55/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50797/empty,Tani Makmur,Tegal Mijin
56,56/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50798/empty,Rukun Tani,Grujugan
57,57/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50799/empty,Mandiri,Jetis
58,58/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50800/empty,Tani Maju,Solor
59,59/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50801/empty,Tani Makmur,Curahpoh
60,60/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50802/empty,Sumber Rejeki,Locare
61,61/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50803/empty,Ponco Jaya,Poncogati
62,62/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50804/empty,Kupang Lestari,Kupang
63,63/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50805/empty,Bumi Makmur,Sumber Suko
64,64/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50806/empty,Wahyu Sejahtera,Selolembu
65,65/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50807/empty,Makmur Jaya,Tegalampel
66,66/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50808/empty,Sekarjaya Mandiri,Sekarputih
67,67/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50809/empty,Tani Maju,Klabang Agung
68,68/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50810/empty,Purnama Indah,Purnama
69,69/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50811/empty,Mekar Makmur Jaya,Kembang
70,70/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50812/empty,Panca Makmur Jaya,Pancoran
71,71/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50813/empty,Kusuma Tani,Kesemek
72,72/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50814/empty,Sumber Tani,Dawuhan
73,73/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50815/empty,Makmur Tani Jaya,Tangsil Kulon
74,74/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50816/empty,Tirto Sembodo,Koncer Kidul
75,75/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50817/empty,Karya Tani,Gebang
76,76/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50818/empty,Al Barokah,Kajar
77,77/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50819/empty,Maju Makmur,Koncer Darul Aman
78,78/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50820/empty,Bumi Harta,Traktakan
79,79/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50821/empty,Suka Makmur,Sumber Anom
80,80/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50822/empty,Makmur Jaya,Kalianyar
81,81/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50823/empty,Padang Pasir,Pandak
82,82/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/50824/empty,Suka Makmur,Mengen
