no,no_bam,situs,poktan,desa
157,157/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104632/empty,Sedyo Mulyo,Sobayan
158,158/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104634/empty,Tani Unggul,Kalangan
159,159/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104635/empty,Ngudi Rejeki,Kalangan
160,160/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104638/empty,Sumber Rejeki,Kalangan
161,161/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104639/empty,Martani Boga,Troketon
162,162/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104641/empty,Boga Martani,Troketon
163,163/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104643/empty,Sedyo Raharjo,Troketon
164,164/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104645/empty,Ngudi Makmur,Kaligawe
165,165/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104647/empty,Sedyo Makmur,Kaligawe
166,166/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104649/empty,Kismo Aji,Lemahireng
167,167/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104651/empty,Kismo Sari,Lemahireng
