no,no_bam,situs,poktan,desa
116,116/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91974/empty,Tani Dewi,Muncang
117,117/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91975/empty,Terang,Babakan
118,118/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91976/empty,Kismo Budaya,Longkeyang
119,119/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91977/empty,Sumber Makmur,Karangbrai
120,120/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91978/empty,Tulus Karya II,Kebandaran
121,121/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91979/empty,Gemah Ripah,Cangak
122,122/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91980/empty,Sri Rahayu,Cangak
123,123/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91981/empty,Tunggul Raharjo,Payung
124,124/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91982/empty,Sumber Waras,Parunggalih
125,125/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91983/empty,Tani Jaya,Payung
126,126/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91984/empty,Gunung Sari,Payung
127,127/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91985/empty,Dewi Sri,Kesesirejo
128,128/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91986/empty,Aneka Tani,Glandang
129,129/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91987/empty,Cipta Tani,Glandang
130,130/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91988/empty,Mulya Tani,Kuta
131,131/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91989/empty,Suka Maju,Kuta
132,132/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91990/empty,Among Tani,Purana
133,133/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91991/empty,Rekso Tani,Purana
134,134/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91992/empty,Cemerlang Usaha Tani,Purana
135,135/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91993/empty,Tani Makmur 1,Wanarata
136,136/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91994/empty,Tani Makmur 2,Wanarata
137,137/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91995/empty,Utama Sari IV,Banjarsari
138,138/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91996/empty,Ritma Sari I,Pegiringan
139,139/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91997/empty,Ritma Sari II,Pegiringan
140,140/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91998/empty,Ritma Sari IV,Pegiringan
141,141/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/91999/empty,Utama Sari II,Banjarsari
142,142/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92000/empty,Panca Tani,Pabuaran
143,143/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92001/empty,Utama Sari III,Banjarsari
144,144/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92002/empty,Tani Mulya V,Wanarata
145,145/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92003/empty,Ritma Sari III,Pegiringan
146,146/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92004/empty,Sri Rejeki,Kreyo
147,147/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92005/empty,Tani Makmur 2,Tanahbaya
148,148/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92006/empty,Sumber Mulya,Gembyang
149,149/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92007/empty,Guna Tani,Kejene
150,150/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92008/empty,Bukit Alam Asri,Kejene
151,151/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92009/empty,Pucang Sari I,Kejene
152,152/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92010/empty,Warih Prabowo II,Lodaya
153,153/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92011/empty,Maju Makmur 2,Semaya
154,154/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/92012/empty,Tani Karya 4,Kalitorong
