no,no_bam,situs,poktan,desa
93,93/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104653/empty,Coper Manunggal,Coper
94,94/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104654/empty,Jetis Manunggal,Jetis
95,95/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104655/empty,Sri Mukti,Josari
96,96/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104656/empty,Manunggal,Karanggebang
97,97/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104657/empty,Kukuh Stiyo Makaryo,Kradenan
98,98/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104658/empty,Manunggal,Kutu Kulon
99,99/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104659/empty,Kutuwetan Manunggal,Kutu Wetan
100,100/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104660/empty,Manunggal Jaya,Mojomati
101,101/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104661/empty,Tri Mulyo,Mojorejo
102,102/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104662/empty,Ngudi Maju,Ngasinan
103,103/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104663/empty,Ronggo Warsito,Tegalsari
104,104/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104664/empty,Sido Makmur,Turi
105,105/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104665/empty,Winong Manunggal,Winong
106,106/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104666/empty,Subur Manunggal,Wonoketro
107,107/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104667/empty,Karya Tani,Bringin
108,108/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104668/empty,Sri Katon,Carat
109,109/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104669/empty,Sri Makmur,Ciluk
110,110/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104670/empty,Sumber Mulyo,Gabel
111,111/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104671/empty,Sari Mukti,Kauman
112,112/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104672/empty,Sumber Makmur,Maron
113,113/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104673/empty,Tani Makmur,Nglarangan
114,114/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104674/empty,Ngrandu Makmur,Ngrandu
115,115/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104675/empty,Mekar Tani,Nongkodono
116,116/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104676/empty,Keling Makmur,Pengkol
117,117/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104677/empty,Mulya Tani,Plosojenar
118,118/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104678/empty,Margo Eling,Semanding
119,119/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104679/empty,Sukomaju,Sukosari
120,120/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104680/empty,Mekar Sari,Somoroto
121,121/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104681/empty,Rukun Makmur,Tegalombo
122,122/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104682/empty,Sumber Barokah,Tosanan
123,123/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104683/empty,Harapan Utama,Bajang
124,124/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104684/empty,Lestari Wibowo,Candi
125,125/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104685/empty,Sedyo Makmur,Gandu
126,126/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104686/empty,Sido Mukti,Gontor
127,127/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104687/empty,Tani Lestari,Jabung
128,128/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104688/empty,Sido Maju,Joresan
129,129/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104689/empty,Karya Manunggal,Kaponan
130,130/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104690/empty,Sido Rukun,Mlarak
131,131/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104691/empty,Mitra Tani,Nglumpang
132,132/bam/poligon,https://mpo.psp.pertanian.go.id/v.5/pelaporan/104692/empty,Makmur Abadi,Ngrukem
