no,no,situs,poktan,desa,bast,file,ongkir
67,420/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79304/empty,Gema Tani,Marinding,2950000,420.pdf,360000
68,421/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79305/empty,Pararra,Marinding,4425000,421.pdf,540000
69,422/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79306/empty,Berkat Sangkutu,Marinding,4425000,422.pdf,540000
70,423/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79307/empty,Tondon Siporannu,Marinding,5900000,423.pdf,720000
71,424/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79308/empty,Maruang,Palipu,11800000,424.pdf,1440000
72,425/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79309/empty,Rarukan Utara,Lemo,7375000,425.pdf,900000
73,426/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79310/empty,Moso II,Lemo,7375000,426.pdf,900000
74,427/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79311/empty,Karrang Situru,Buntu Tangti,4425000,427.pdf,540000
75,428/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79312/empty,Minanga Timur,Buntu Tangti,4425000,428.pdf,540000
76,429/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79313/empty,Batunna Boyo,Ke'pe Tinoring,4425000,429.pdf,540000
77,430/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79314/empty,Misa Kada,Ke'pe Tinoring,7375000,430.pdf,900000
78,431/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79315/empty,Siangkaran,Ke'pe Tinoring,4425000,431.pdf,540000
79,432/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79316/empty,Bamba,Pantan,2065000,432.pdf,252000
