no,image,situs,poktan,desa,bast,bast_file
453,1921,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81347/empty,Muji Rahayu,Telang Makmur,17700000,1921
454,1922,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81348/empty,Mukti Sari,Telang Makmur,17700000,1922
455,1923,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81349/empty,Maju Jaya,Telang Makmur,21830000,1923
456,1924,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81350/empty,Krido Martani,Telang Makmur,17700000,1924
457,1925,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81351/empty,Sido Mulyo,Telang Makmur,23600000,1925
458,1926,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81352/empty,Ar Rohmah,Telang Makmur,17700000,1926
459,1927,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81353/empty,Tani Makmuir Jaya,Upang Ceria,11800000,1927
460,1928,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81354/empty,Usaha Bersama,Upang Ceria,11800000,1928
461,1929,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81355/empty,Tiga Dara,Upang Ceria,5900000,1929
462,1930,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81356/empty,Tani Maju,Upang Ceria,7375000,1930
463,1931,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81357/empty,Tani Jaya,Upang Ceria,14750000,1931
464,1932,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81358/empty,Tani Harapan,Upang Ceria,4425000,1932
465,1933,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81359/empty,Tani Bersama,Upang Ceria,7375000,1933
466,1934,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81360/empty,Sumber Tani,Upang Ceria,12390000,1934
467,1935,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81361/empty,Sumber Rezeki,Upang Ceria,8850000,1935
468,1936,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81362/empty,Sumber Mulyo,Upang Ceria,12390000,1936
469,1937,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81363/empty,Sumber Karya,Upang Ceria,14160000,1937
470,1938,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81364/empty,Sumber Agung,Upang Ceria,7375000,1938
471,1939,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81366/empty,Suka Makmur,Upang Ceria,6490000,1939
472,1940,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81367/empty,Suka Maju,Upang Ceria,8850000,1940
473,1941,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81369/empty,Subur Makmur,Upang Ceria,5900000,1941
474,1942,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/81370/empty,Sama Tani,Upang Ceria,11800000,1942
