no,no_bam,situs,poktan,desa,bast
108,108/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88681/empty,Suka Makmur,Muara Purba Nauli,8260000
109,109/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88682/empty,Raptama,Muara Purba Nauli,8260000
110,110/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88683/empty,Dame Ro,Basilam Baru,2950000
111,111/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88684/empty,Kwt Lestari,Basilam Baru,4130000
112,112/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88685/empty,Kwt Barokah,Basilam Baru,3245000
113,113/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88687/empty,Sejahtera,Basilam Baru,2950000
114,114/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88689/empty,Suka Mulia,Sipangko,5015000
115,115/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88690/empty,Sempurna Jaya,Sipangko,5310000
116,116/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88692/empty,Kwt Rap Maju,Sipangko,3540000
117,117/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88693/empty,Maju Bersama,Sipangko,5310000
118,118/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88695/empty,Rahmad I,Huta Tonga,5900000
119,119/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88697/empty,Rahmad,Huta Tonga,7375000
120,120/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88698/empty,Serumpun,Huta Tonga,7375000
121,121/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88700/empty,Serumbuk,Huta Tonga,5900000
122,122/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88701/empty,Raprim,Pasir Matogu,5900000
123,123/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88702/empty,Satahi,Pasir Matogu,7375000
124,124/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88703/empty,Kwt Murni,Pasir Matogu,4425000
125,125/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88704/empty,Tani Jaya,Pasir Matogu,5900000
126,126/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88705/empty,Kwt Saroha,Huta Holbung,4425000
127,127/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88706/empty,Mawar,Huta Holbung,10325000
128,128/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88707/empty,Berkat,Huta Holbung,10325000
129,129/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88709/empty,Satahi,Huta Holbung,4425000
130,130/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/88711/empty,Kwt Kurma,Huta Holbung,3245000
