no,No,situs,poktan,desa,bast,bast_file,total
73,1541,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80872/empty,Ojo Lali,Rimau Sungsang,8260000,1541,9268000
74,1542,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80873/empty,Paggalung Tedde,Rimau Sungsang,8260000,1542,9268000
75,1543,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80874/empty,Rukun Tani,Rimau Sungsang,8260000,1543,9268000
76,1544,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80876/empty,Siap Berkarya,Rimau Sungsang,8260000,1544,9268000
77,1545,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80878/empty,Sinar Marga,Rimau Sungsang,8260000,1545,9268000
78,1546,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80879/empty,Sinar Tani Keladi,Rimau Sungsang,8260000,1546,9268000
79,1547,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80880/empty,Subur Jaya,Rimau Sungsang,8260000,1547,9268000
80,1548,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80881/empty,Subur Makmur,Rimau Sungsang,8260000,1548,9268000
81,1549,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80883/empty,Suka Damai,Rimau Sungsang,8260000,1549,9268000
82,1550,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80884/empty,Suka Jadi,Rimau Sungsang,8260000,1550,9268000
83,1551,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80885/empty,Suka Makmur,Rimau Sungsang,8260000,1551,9268000
84,1552,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80886/empty,Sumber Makmur,Rimau Sungsang,8260000,1552,9268000
85,1553,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80889/empty,Tani Harja,Rimau Sungsang,8260000,1553,9268000
86,1554,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80890/empty,Tani Mulyo,Rimau Sungsang,8260000,1554,9268000
87,1555,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80891/empty,Tunas Harapan,Rimau Sungsang,8260000,1555,9268000
88,1556,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80892/empty,Usaha Bersama,Rimau Sungsang,8260000,1556,9268000
89,1557,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80893/empty,Tani Makmur 3,Upang Makmur,20355000,1557,22839000
90,1558,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80894/empty,Jaya Makmur 2,Upang Makmur,16815000,1558,18867000
91,1559,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80895/empty,Karya Makmur,Upang Makmur,15930000,1559,17874000
92,1560,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80896/empty,Musi Makmur,Upang Makmur,15930000,1560,17874000
93,1561,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80898/empty,Manunggal 1,Upang Makmur,18585000,1561,20853000
94,1562,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80900/empty,Manunggal 2,Upang Makmur,12390000,1562,13902000
95,1563,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80901/empty,Taruuna Tani,Upang Makmur,21535000,1563,24163000
96,1564,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80902/empty,Sinar Maju,Upang Makmur,17700000,1564,19860000
97,1565,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80903/empty,Hidup Bbersama,Upang Makmur,14160000,1565,15888000
98,1566,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80904/empty,Muda Bersama,Upang Makmur,12095000,1566,13571000
99,1567,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80906/empty,Sumber Makmur I,Upang Makmur,14750000,1567,16550000
100,1568,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80909/empty,Sumber Tani II,Upang Makmur,14160000,1568,15888000
101,1569,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80910/empty,Sumber Karya I,Upang Makmur,12095000,1569,13571000
102,1570,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80911/empty,Ngudi Mulya 2,Upang Makmur,27730000,1570,31114000
103,1571,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80912/empty,Makmur Bersama,Upang Makmur,14455000,1571,16219000
104,1572,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80913/empty,Sumber Makmur 2,Upang Makmur,9440000,1572,10592000
105,1573,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80915/empty,Mekar Sari,Upang Makmur,12390000,1573,13902000
106,1574,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80916/empty,Sumber Karya II,Upang Makmur,11505000,1574,12909000
107,1575,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80917/empty,Ngudi Mulya 1,Upang Makmur,21535000,1575,24163000
108,1576,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80918/empty,Mitra Tani,Upang Makmur,22125000,1576,24825000
109,1577,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80919/empty,Sumber Harapan II,Upang Makmur,17700000,1577,19860000
110,1578,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80921/empty,Sungai Mengkudu,Upang Makmur,18585000,1578,20853000
111,1579,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80922/empty,Tani Makmur 1,Upang Makmur,28320000,1579,31776000
112,1580,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80923/empty,Jaya Makmur 1,Upang Makmur,14750000,1580,16550000
113,1581,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80924/empty,Cahaya Beringin,Upang Makmur,24780000,1581,27804000
114,1582,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/80926/empty,Sungai Peregam 1,Upang Makmur,17110000,1582,19198000
