no,no_bam,situs,poktan,desa,bast,bast_file,ongkir,tanggal
21,374/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79258/empty,Pemuda Kanan,Kandua',1475000,374.jpg,180000,05-10-2023
22,375/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79259/empty,Sangtiangkaran,Kandua',2950000,375.jpg,360000,05-10-2023
23,376/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79260/empty,Sangmairisan,Kandua',1475000,376.jpg,180000,05-10-2023
24,377/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79261/empty,Siendekan,Balla,2950000,377.jpg,360000,05-10-2023
25,378/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79262/empty,Pada Tindo,Balla,2950000,378.jpg,360000,05-10-2023
26,379/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79263/empty,Sangkederan,Balla,2950000,379.jpg,360000,05-10-2023
27,380/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79264/empty,Rannuanta,Balla,2950000,380.jpg,360000,05-10-2023
28,381/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79265/empty,Ratte Kole,Tiroan,2950000,381.jpg,360000,05-10-2023
29,382/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79266/empty,Kalimbuang,Tiroan,1475000,382.jpg,180000,05-10-2023
30,383/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79267/empty,Saruran Batu Jaya,Tiroan,1475000,383.jpg,180000,05-10-2023
31,384/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79268/empty,Tombang Lokka,Le'tek,1475000,384.jpg,180000,05-10-2023
32,385/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79269/empty,Tandung Bertani,Le'tek,1475000,385.jpg,180000,05-10-2023
33,386/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79270/empty,Saro Mase,Le'tek,2950000,386.jpg,360000,05-10-2023
34,387/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79271/empty,Sangulele,Kole Palian,1475000,387.jpg,180000,05-10-2023
35,388/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79272/empty,Sikamale,Kole Palian,1475000,388.jpg,180000,05-10-2023
36,389/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79273/empty,Tambolag,Buttu Limbong,1475000,389.jpg,180000,05-10-2023
37,390/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79274/empty,Kombo,Buttu Limbong,1475000,390.jpg,180000,05-10-2023
38,391/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79275/empty,Limbong,Buttu Limbong,2950000,391.jpg,360000,05-10-2023
39,392/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79276/empty,Koa,Buttu Limbong,2950000,392.jpg,360000,05-10-2023
40,393/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79277/empty,Kampung Baru,Buttu Limbong,2950000,393.jpg,360000,05-10-2023
41,394/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79278/empty,Limbong Barani,Buttu Limbong,2950000,394.jpg,360000,05-10-2023
42,395/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79279/empty,Sikamali Pulio,Kandua',1475000,395.jpg,180000,05-10-2023
43,396/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79280/empty,Ratte Dama,Kandua',1475000,396.jpg,180000,05-10-2023
44,397/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79281/empty,Subur Jaya Dama,Kandua',1475000,397.jpg,180000,05-10-2023
45,398/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79282/empty,Pa Kondo,Kandua',1475000,398.jpg,180000,05-10-2023
46,399/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79283/empty,Saro Mase,Kandua',1475000,399.jpg,180000,05-10-2023
47,400/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79284/empty,Mekar Danglu,Rante Kalua',2950000,400.jpg,360000,20-10-2023
48,401/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79285/empty,Tondok Bangla,Rante Kalua',2950000,401.jpg,360000,20-10-2023
49,402/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79286/empty,Ponian Jaya,Pa'tengko,5900000,402.jpg,720000,20-10-2023
50,403/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79287/empty,Batu Menganga,Pa'tengko,5900000,403.jpg,720000,20-10-2023
51,404/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79288/empty,Rante Dollok,Rante dada,14750000,404.jpg,1800000,20-10-2023
52,405/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79289/empty,Manda Sirampun,Rante dada,4425000,405.jpg,540000,20-10-2023
53,406/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79290/empty,Sangkederan,Tampo,7375000,406.jpg,900000,20-10-2023
54,407/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79291/empty,Antam,Tampo,5900000,407.jpg,720000,20-10-2023
55,408/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79292/empty,Rante Kesu',Tampo,7375000,408.jpg,900000,20-10-2023
56,409/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79293/empty,Tanduk Bulan,Tampo,5900000,409.jpg,720000,20-10-2023
57,410/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79294/empty,PGM Sipalamban,Simbuang,4425000,410.jpg,540000,20-10-2023
58,411/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79295/empty,Siangkaran,Simbuang,5900000,411.jpg,720000,20-10-2023
59,412/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79296/empty,Sipatuo Bangkailan,Simbuang,5900000,412.jpg,720000,20-10-2023
60,413/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79297/empty,Madoke Siangkaran,Simbuang,5900000,413.jpg,720000,20-10-2023
61,414/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79298/empty,Kalian Bersama,Simbuang,5900000,414.jpg,720000,20-10-2023
62,415/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79299/empty,Sedanan,Simbuang,5900000,415.jpg,720000,20-10-2023
