no,no_bam,situs,poktan,desa,bast,bast_file,ongkir,tanggal
132,485/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79369/empty,KWT Lestari Manggau,Manggau,1475000,485.jpg,180000,11-10-2023
133,486/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79370/empty,Parita Pangle,Manggau,2950000,486.jpg,360000,11-10-2023
134,487/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79371/empty,Tuan Palangka,Manggau,1475000,487.jpg,180000,11-10-2023
135,488/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79372/empty,Borong,Tarongko,1475000,488.jpg,180000,11-10-2023
136,489/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79373/empty,Buntu Tarongko,Tarongko,2950000,489.jpg,360000,11-10-2023
137,490/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79374/empty,Gurun Cinta Maju,Tarongko,2950000,490.jpg,360000,11-10-2023
138,491/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79375/empty,Lestari,Tarongko,5310000,491.jpg,648000,11-10-2023
139,492/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79376/empty,Pekaung,Tarongko,1475000,492.jpg,180000,11-10-2023
140,493/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79377/empty,Rante Tarongko,Tarongko,1475000,493.jpg,180000,11-10-2023
141,494/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79378/empty,Sangkutu Banne,Tarongko,4720000,494.jpg,576000,11-10-2023
142,495/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79379/empty,Siallo,Tarongko,1475000,495.jpg,180000,11-10-2023
143,496/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79380/empty,Sipanundu,Tarongko,1770000,496.jpg,216000,11-10-2023
144,497/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79381/empty,Siporannu,Tarongko,4425000,497.jpg,540000,11-10-2023
145,498/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79382/empty,Todang,Tarongko,2950000,498.jpg,360000,11-10-2023
146,499/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79383/empty,Siduruk Bala'ba,Tarongko,1475000,499.jpg,180000,11-10-2023
147,500/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79384/empty,Sinar Palio,Tarongko,1475000,500.jpg,180000,11-10-2023
148,501/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79385/empty,Rabek,Rante,2950000,501.jpg,360000,11-10-2023
149,502/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79386/empty,Rantol,Rante,5900000,502.jpg,720000,11-10-2023
150,503/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79387/empty,Sikamalik Mamabo,Rante,1475000,503.jpg,180000,11-10-2023
151,504/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79388/empty,Harapan,Rante,8850000,504.jpg,1080000,11-10-2023
152,505/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79389/empty,Tunas Bangsa,Rante,7375000,505.jpg,900000,11-10-2023
153,506/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79390/empty,Rano,Rante,2950000,506.jpg,360000,11-10-2023
154,507/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79391/empty,Parumbian Bangkit,Rante,1475000,507.jpg,180000,11-10-2023
155,508/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79392/empty,Malimongan,Rante,5900000,508.jpg,720000,11-10-2023
156,509/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79393/empty,Atom Permai,Batupapan,7375000,509.jpg,900000,11-10-2023
157,510/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79394/empty,Kalolok Bersatu,Batupapan,7375000,510.jpg,900000,11-10-2023
158,511/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79395/empty,Karapa,Batupapan,4425000,511.jpg,540000,11-10-2023
159,512/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79396/empty,Sipanundu Kalolok,Batupapan,4425000,512.jpg,540000,11-10-2023
160,513/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79397/empty,Sirannuan,Batupapan,4425000,513.jpg,540000,11-10-2023
161,514/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79398/empty,Taruna Tani,Batupapan,7375000,514.jpg,900000,11-10-2023
162,515/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79399/empty,Tangnga Tondok,Batualu Selatan,8850000,515.jpg,1080000,27-10-2023
163,516/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79400/empty,Tamporan,Batualu Selatan,9145000,516.jpg,1116000,27-10-2023
164,517/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79401/empty,Pakepakan,Batualu Selatan,8260000,517.jpg,1008000,27-10-2023
165,518/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79402/empty,Kendenan,Batualu Selatan,3540000,518.jpg,432000,27-10-2023
166,519/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79403/empty,Katapi,Batualu Selatan,5900000,519.jpg,720000,27-10-2023
167,520/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79404/empty,Kandeapi,Batualu Selatan,5310000,520.jpg,648000,27-10-2023
168,521/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79405/empty,Burau Tarrak,Batualu Selatan,5015000,521.jpg,612000,27-10-2023
169,522/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79406/empty,Buntu Ba'tan,Batualu Selatan,12390000,522.jpg,1512000,27-10-2023
170,523/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79407/empty,Tongkonan,Batualu Selatan,5015000,523.jpg,612000,27-10-2023
171,524/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79408/empty,To'batata,Batualu Selatan,5900000,524.jpg,720000,27-10-2023
172,525/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79409/empty,Barua,Batualu Selatan,6490000,525.jpg,792000,27-10-2023
173,526/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79410/empty,Tumbubara,Batualu,4130000,526.jpg,504000,27-10-2023
174,527/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79411/empty,Se'pon Sarong,Batualu,2950000,527.jpg,360000,27-10-2023
175,528/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79412/empty,Batualu Pasang,Batualu,5605000,528.jpg,684000,27-10-2023
176,529/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79413/empty,Bamba,Batualu,5900000,529.jpg,720000,27-10-2023
177,530/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79414/empty,"AA, Bamba",Batualu,4425000,530.jpg,540000,27-10-2023
178,531/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79415/empty,Makula Siendekan,Tokesan,5605000,531.jpg,684000,27-10-2023
179,532/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79416/empty,Lempangan,Tokesan,4425000,532.jpg,540000,27-10-2023
180,533/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79417/empty,Sullukan,Tokesan,6195000,533.jpg,756000,27-10-2023
181,534/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79418/empty,Sipanundu,Tokesan,5015000,534.jpg,612000,27-10-2023
182,535/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79419/empty,Siporannu,Tokesan,8850000,535.jpg,1080000,27-10-2023
183,536/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79420/empty,Ra'pa,Tokesan,5015000,536.jpg,612000,27-10-2023
184,537/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79421/empty,Perang,Tokesan,5605000,537.jpg,684000,27-10-2023
185,538/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79422/empty,Padang,Tokesan,5605000,538.jpg,684000,27-10-2023
186,539/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79423/empty,Kambelangi',Tokesan,5015000,539.jpg,612000,27-10-2023
187,540/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79424/empty,Buntu Tokesan,Tokesan,4425000,540.jpg,540000,27-10-2023
188,541/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79425/empty,Lengke,Raru Sibunuan,4425000,541.jpg,540000,27-10-2023
189,542/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79426/empty,Situru,Raru Sibunuan,8555000,542.jpg,1044000,27-10-2023
190,543/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79427/empty,Sipaele,Raru Sibunuan,5015000,543.jpg,612000,27-10-2023
191,544/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79428/empty,Siangkaran,Raru Sibunuan,6195000,544.jpg,756000,27-10-2023
192,545/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79429/empty,Padatengka,Raru Sibunuan,2950000,545.jpg,360000,27-10-2023
193,546/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79430/empty,Mitra Sejahtera,Raru Sibunuan,16225000,546.jpg,1980000,27-10-2023
194,547/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79431/empty,"KTH, Mentiro Tiku, T",Raru Sibunuan,5900000,547.jpg,720000,27-10-2023
195,548/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79432/empty,Kombong,Raru Sibunuan,5310000,548.jpg,648000,27-10-2023
196,549/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79433/empty,Buntu Asin,Raru Sibunuan,5015000,549.jpg,612000,27-10-2023
197,550/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79434/empty,Siangkaran,Rante Alang,5605000,550.jpg,684000,27-10-2023
198,551/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79435/empty,Kondo,Rante Alang,5015000,551.jpg,612000,27-10-2023
199,552/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79436/empty,Kamiri,Rante Alang,6785000,552.jpg,828000,27-10-2023
200,553/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79437/empty,Songgo,Rante Alang,5015000,553.jpg,612000,27-10-2023
201,554/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79438/empty,Batakan Siolanan,Rante Alang,5605000,554.jpg,684000,27-10-2023
202,555/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79439/empty,Baibo,Rante Alang,5900000,555.jpg,720000,27-10-2023
203,556/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79440/empty,Garuda,Saluallo,5015000,556.jpg,612000,26-10-2023
204,557/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79441/empty,Segitiga Emas,Saluallo,5900000,557.jpg,720000,26-10-2023
205,558/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79442/empty,Makkareso,Madandan,5900000,558.jpg,720000,26-10-2023
206,559/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79443/empty,Sanik,Balepe',7375000,559.jpg,900000,21-10-2023
207,560/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79444/empty,Rumpun Petani Leppan,Leppan,7375000,560.jpg,900000,21-10-2023
208,561/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79445/empty,Situnduan Matangli,Leppan,7375000,561.jpg,900000,21-10-2023
209,562/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79446/empty,Siangkaran,Leppan,7375000,562.jpg,900000,21-10-2023
210,563/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79447/empty,Sangina,Lemo Menduruk,7375000,563.jpg,900000,21-10-2023
211,564/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79448/empty,Kanan Datu,Lemo Menduruk,7375000,564.jpg,900000,21-10-2023
212,565/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79449/empty,Sabara,Lemo Menduruk,8850000,565.jpg,1080000,21-10-2023
213,566/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79450/empty,Sanglombokan,Lemo Menduruk,7375000,566.jpg,900000,21-10-2023
214,567/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79451/empty,Salu Silullung,Malimbong,7375000,567.jpg,900000,21-10-2023
215,568/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79452/empty,Bulan,Malimbong,7375000,568.jpg,900000,21-10-2023
216,569/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79453/empty,Sollongan,Malimbong,7375000,569.jpg,900000,24-10-2023
217,570/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79454/empty,Bidoko,Kole Sawangan,8850000,570.jpg,1080000,24-10-2023
218,571/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79455/empty,Supate Solo,Kole Sawangan,7375000,571.jpg,900000,24-10-2023
219,572/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79456/empty,Sangayoka Tallumanuk,Kole Sawangan,7375000,572.jpg,900000,24-10-2023
220,573/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79457/empty,Kole,Kole Sawangan,8850000,573.jpg,1080000,24-10-2023
221,574/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79458/empty,Tondon Sapan,Kole Barebatu,7375000,574.jpg,900000,24-10-2023
222,575/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79459/empty,Liku Lepong,Kole Barebatu,8850000,575.jpg,1080000,24-10-2023
223,576/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79460/empty,Kwt Harapan,Kole Barebatu,2950000,576.jpg,360000,24-10-2023
224,577/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79461/empty,Tallu Bulinna,Kole Barebatu,8850000,577.jpg,1080000,24-10-2023
225,578/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79462/empty,Pa'tondokan,Kole Barebatu,8850000,578.jpg,1080000,24-10-2023
226,579/BAM-P/PSP/SJ-TANA TORAJA/26/IX/2023,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/79463/empty,Salempanna,Lion Tondok Iring,4425000,579.jpg,540000,26-10-2023
