no,nomor,situs,poktan,desa,bast
89,89/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91943/empty,Sido Mukti,Majalangu,5900000
90,90/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91944/empty,Sido Makmur,Majalangu,14750000
91,91/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91945/empty,Kali Taman,Cawet,7375000
92,92/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91946/empty,Sipedang,Cawet,7375000
93,93/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91948/empty,Tani Makmur,Watukumpul,5900000
94,94/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91949/empty,Sido Dadi,Watukumpul,7375000
95,95/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91951/empty,Margalangu II,Watukumpul,7375000
96,96/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91952/empty,Sumber Rejeki,Bodas,15340000
97,97/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91953/empty,Kramat,Cawet,17700000
98,98/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91954/empty,Semi,Bongas,17110000
99,99/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91956/empty,Rukun Tani I,Medayu,7375000
100,100/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91957/empty,Lestari,Medayu,7375000
101,101/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91958/empty,Budi Lestari,Bodas,5900000
102,102/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91960/empty,Budi Rahayu Makmur,Bodas,5900000
103,103/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91961/empty,Bangun Karya,Bodas,7375000
104,104/bam/poligon,https://mpo.psp.pertanian.go.id/v.5.1/pelaporan/91962/empty,Tani Mandiri,Pendowo,10325000
