2023-10-08 15:17:56,096 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Padang, kelompok: Giat Usaha
2023-10-08 15:18:01,310 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Padang, kelompok: Sumber Makmur
2023-10-08 15:18:07,549 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Liang Anggang, kelompok: Anggang Muda
2023-10-08 15:18:13,259 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Liang Anggang, kelompok: Suka Bersatu
2023-10-08 15:18:18,995 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Liang Anggang, kelompok: Berkat Bersama
2023-10-08 15:18:24,255 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Bati-Bati, kelompok: Bina Usaha
2023-10-08 15:18:29,984 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Bati-Bati, kelompok: Segar Utama
2023-10-08 15:18:35,553 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Bati-Bati, kelompok: Teluk Paku
2023-10-08 15:18:41,366 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Bati-Bati, kelompok: Sumber Rejeki
2023-10-08 15:18:48,148 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Bati-Bati, kelompok: Karya Utama
2023-10-08 15:18:53,551 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Banyu Irang, kelompok: Bina Sejahtera
2023-10-08 15:18:58,990 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Banyu Irang, kelompok: Suka Maju
2023-10-08 15:19:04,533 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Banyu Irang, kelompok: Karya Bersama
2023-10-08 15:19:09,828 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Ujung Baru, kelompok: Berkat Pelita
2023-10-08 15:19:15,594 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Ujung Baru, kelompok: Mari Membangun
2023-10-08 15:19:21,112 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Kait-kait Baru, kelompok: Budi Karya
2023-10-08 15:19:26,867 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Kait-kait Baru, kelompok: Tani Agung
2023-10-08 15:19:32,077 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Kait-kait Baru, kelompok: Tani Abadi
2023-10-08 15:19:37,239 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Kait-kait Baru, kelompok: Nyiur Sawit
2023-10-08 15:19:42,899 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Sambangan, kelompok: Harapan Bersama
2023-10-08 15:19:48,348 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Sambangan, kelompok: Tunas Harapan
2023-10-08 15:19:54,999 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Sambangan, kelompok: Tri Darma
2023-10-08 15:20:00,503 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Sambangan, kelompok: Mekar Sari
2023-10-08 15:20:06,064 [INFO] Trying write new poktan for kab: Tanah Laut, kec: Bati Bati, desa: Benua Raya, kelompok: Mupakat
